Qty,Designator,Footprint,Comment,LCSC Part #
,C2,C0402,330nf 16v,
3,"C3,C4,C7",C0402,100nf 16v,
2,"C5,C6",C0402,560pf 16v,
1,IC1,TO252,7805DT 1A,
1,IC2,SO08,MCP2551/SN,
1,ISP1,AVRISP,AVRISP-6,
1,LED1,LED-0603,Red LED,
1,LED2,LED-0603,Green LED,
2,"R1,R2",M0805,220,
1,R3,M0805,4.7k,
2,"R4,R6",M0805,100,
2,"R5,R8",M0805,10k,
1,R7,M0805,120,
1,R9,M0805,20k,
1,S1,B3F-10XX,,
1,Hm-11,HM-11,HM-11 BLE module,
1,U1,QFP80P900X900X120-32N,ATMEGA328P-AU, C14877
1,U2,SOT-23,PMIC-LDO-XC6206P332MR-G(SOT23),
